District,Total votes,Winner,votes of winner,winning party
Uttar Pradesh-Saharanpur,1231746,HAJI FAZLUR REHMAN,514139,Bahujan Samaj Party
Uttar Pradesh-Kairana,1124047,Pradeep Kumar,566961,Bharatiya Janata Party
Uttar Pradesh-Muzaffarnagar,1160071,Sanjeev Kumar Balyan,573780,Bharatiya Janata Party
Uttar Pradesh-Bijnor,1100763,Sanjeev Kumar Balyan,573780,Bharatiya Janata Party
Uttar Pradesh-Nagina,1009456,Sanjeev Kumar Balyan,573780,Bharatiya Janata Party
Uttar Pradesh-Moradabad,1282206,Dr. S.T. HASAN,649416,Samajwadi Party
Uttar Pradesh-Rampur,1060921,Dr. S.T. HASAN,649416,Samajwadi Party
Uttar Pradesh-Sambhal,1183469,DR. SHAFIQUR REHMAN BARQ,658006,Samajwadi Party
Uttar Pradesh-Amroha,1169182,DR. SHAFIQUR REHMAN BARQ,658006,Samajwadi Party
Uttar Pradesh-Meerut,1216413,DR. SHAFIQUR REHMAN BARQ,658006,Samajwadi Party
Uttar Pradesh-Baghpat,1044894,DR. SHAFIQUR REHMAN BARQ,658006,Samajwadi Party
Uttar Pradesh-Ghaziabad,1524456,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Gautam Buddha Nagar,1392952,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Bulandshahr,1123629,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Aligarh,1163184,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Hathras,1150294,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Mathura,1102731,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Agra,1145323,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Fatehpur Sikri,1037151,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Firozabad,1075866,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Mainpuri,976518,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Etah,999607,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Badaun,1081111,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Aonla,1052795,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Bareilly,1068342,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Pilibhit,1186589,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Shahjahanpur,1186157,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Kheri,1136660,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Dhaurahra,1063840,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Sitapur,1064521,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Hardoi,1057558,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Misrikh,1026668,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Unnao,1237076,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Mohanlalganj,1269594,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Lucknow,1116445,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Rae Bareli,958556,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Amethi,942453,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Sultanpur,1000316,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Pratapgarh,914665,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Farrukhabad,1002953,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Etawah,1027815,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Kannauj,1140496,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Kanpur,842994,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Akbarpur,1025314,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Jalaun,1129955,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Jhansi,1380890,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Hamirpur,1089778,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Banda,1034549,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Fatehpur,1043655,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Kaushambi,974438,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Phulpur,978236,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Allahabad,889056,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Barabanki,1155341,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Faizabad,1087121,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Ambedkar Nagar,1090152,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Bahraich,989848,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Kaiserganj,981400,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Shrawasti,997007,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Gonda,923816,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Domariyaganj,985269,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Basti,1054539,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Sant Kabir Nagar,1063390,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Maharajganj,1226916,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Gorakhpur,1184635,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Kushi Nagar,1053117,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Deoria,1015363,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Bansgaon,969136,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Lalganj,960568,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Azamgarh,1029112,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Ghosi,1140781,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Salempur,922518,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Ballia,989732,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Jaunpur,1040652,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Machhlishahr,1034925,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Ghazipur,1105627,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Chandauli,1084961,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Varanasi,1060476,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Bhadohi,1039390,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Mirzapur,1108965,Vijay Kumar Singh,944503,Bharatiya Janata Party
Uttar Pradesh-Robertsganj,988287,Vijay Kumar Singh,944503,Bharatiya Janata Party
